sheet,1
exhibit,1
clipping,1
documentation,4
periodical,1
map,3
period,1
photo,1
image,7
number,3
meter,6
wallet,1
foot,5
http://degob.org/,1
gb,2
file,871
registration,1
cr,1
drawing,1
v-2,1
archive,1
unit,18
v-1,1
information,2
copy,1
group,3
jew,1
treel,1
record,2
documantation,7
pamphlet,1
negative,1
scan,1
content,1
script,1
book,32
role,2
finding,2
scope,1
folder,1
document,8
frame,1
real,2
box,59
hollinger,1
music,1
description,4
form,1
index,2
poster,1
material,2
envelope,1
collection,15
microfilm,28
volume,1
fund,1
binder,1
new,10
prisoner,1
nationality,1
tbc,1
subfile,3
reel,18
card,1
basi,10
case,1
pocket,1
photograph,1
thesi,1
name,3
database,1
mm,7
official,2
list,2
drive,2
roll,1
recording,2
person,1
survey,1
item,5
newspaper,2
aid,3
audio,1
reesl,1
order,1
